Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Angola,-11.2027,17.8739,04-02-2020,0
,Angola,-11.2027,17.8739,03-02-2020,0
,Angola,-11.2027,17.8739,02-02-2020,0
,Angola,-11.2027,17.8739,01-02-2020,0
,Angola,-11.2027,17.8739,31-01-2020,0
,Angola,-11.2027,17.8739,30-01-2020,0
,Angola,-11.2027,17.8739,29-01-2020,0
,Angola,-11.2027,17.8739,28-01-2020,0
,Angola,-11.2027,17.8739,27-01-2020,0
,Angola,-11.2027,17.8739,26-01-2020,0
,Angola,-11.2027,17.8739,25-01-2020,0
,Angola,-11.2027,17.8739,24-01-2020,0
,Angola,-11.2027,17.8739,23-01-2020,0
,Angola,-11.2027,17.8739,22-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,20-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,19-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,18-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,17-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,16-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,15-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,14-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,13-03-2020,1
,Antigua and Barbuda,17.0608,-61.7964,12-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,11-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,10-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,09-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,08-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,07-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,06-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,05-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,04-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,03-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,02-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,01-03-2020,0
,Antigua and Barbuda,17.0608,-61.7964,29-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,28-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,27-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,26-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,25-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,24-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,23-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,22-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,21-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,20-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,19-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,18-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,17-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,16-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,15-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,14-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,13-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,12-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,11-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,10-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,09-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,08-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,07-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,06-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,05-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,04-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,03-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,02-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,01-02-2020,0
,Antigua and Barbuda,17.0608,-61.7964,31-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,30-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,29-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,28-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,27-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,26-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,25-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,24-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,23-01-2020,0
,Antigua and Barbuda,17.0608,-61.7964,22-01-2020,0
,Argentina,-38.4161,-63.6167,20-03-2020,128
,Argentina,-38.4161,-63.6167,19-03-2020,97
,Argentina,-38.4161,-63.6167,18-03-2020,79
,Argentina,-38.4161,-63.6167,17-03-2020,68
,Argentina,-38.4161,-63.6167,16-03-2020,56
,Argentina,-38.4161,-63.6167,15-03-2020,45
,Argentina,-38.4161,-63.6167,14-03-2020,34
,Argentina,-38.4161,-63.6167,13-03-2020,31
,Argentina,-38.4161,-63.6167,12-03-2020,19
,Argentina,-38.4161,-63.6167,11-03-2020,19
,Argentina,-38.4161,-63.6167,10-03-2020,17
,Argentina,-38.4161,-63.6167,09-03-2020,12
,Argentina,-38.4161,-63.6167,08-03-2020,12
,Argentina,-38.4161,-63.6167,07-03-2020,8
,Argentina,-38.4161,-63.6167,06-03-2020,2
,Argentina,-38.4161,-63.6167,05-03-2020,1
,Argentina,-38.4161,-63.6167,04-03-2020,1
,Argentina,-38.4161,-63.6167,03-03-2020,1
,Argentina,-38.4161,-63.6167,02-03-2020,0
,Argentina,-38.4161,-63.6167,01-03-2020,0
,Argentina,-38.4161,-63.6167,29-02-2020,0
,Argentina,-38.4161,-63.6167,28-02-2020,0
,Argentina,-38.4161,-63.6167,27-02-2020,0
,Argentina,-38.4161,-63.6167,26-02-2020,0
,Argentina,-38.4161,-63.6167,25-02-2020,0
,Argentina,-38.4161,-63.6167,24-02-2020,0
,Argentina,-38.4161,-63.6167,23-02-2020,0
,Argentina,-38.4161,-63.6167,22-02-2020,0
,Argentina,-38.4161,-63.6167,21-02-2020,0
,Argentina,-38.4161,-63.6167,20-02-2020,0
,Argentina,-38.4161,-63.6167,19-02-2020,0
